PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BLKM
Station name, Upper_Block_Midd
Begin Date, 2017-01-15
End Date, 2018-01-23
Release Date, 2018-02-13
Source file, BLKM.pbo.nam08.pos
Offset from source file, -1.72 mm North, -33.08 mm East, -7.46 mm Vertical
Reference position, 42.6131348870 North Latitude, -114.8905526888 East Longitude, 1079.34090 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-10-27,7.04, -111.03, -108.37, 2.07, 1.69, 7.07, suppl,
2017-10-28,6.69, -111.38, -107.36, 2, 1.69, 7.05, suppl,
2017-10-29,7.44, -112.68, -105.48, 1.85, 1.53, 6.65, suppf,
2017-10-30,7.86, -114.33, -106.40, 1.93, 1.6, 6.97, suppf,
2017-10-31,8.10, -112.95, -108.07, 1.91, 1.59, 6.97, suppf,
2017-11-01,7.87, -115.65, -107.94, 1.88, 1.56, 6.79, suppf,
2017-11-02,7.53, -115.28, -104.93, 1.97, 1.61, 7.02, suppf,
2017-11-03,8.30, -114.60, -111.72, 1.89, 1.56, 6.8, suppf,
2017-11-04,8.45, -116.42, -103.08, 2, 1.64, 7.05, suppf,
2017-11-05,7.30, -117.15, -106.16, 1.84, 1.51, 6.56, suppf,
2017-11-06,8.17, -118.15, -112.63, 1.88, 1.55, 6.73, suppf,
2017-11-07,8.43, -118.65, -117.35, 1.84, 1.48, 6.59, suppf,
2017-11-08,8.26, -118.54, -117.88, 1.89, 1.54, 6.75, suppf,
2017-11-09,7.15, -120.20, -114.85, 2.01, 1.63, 7.17, suppf,
2017-11-10,6.97, -120.61, -112.93, 1.94, 1.57, 6.9, suppf,
2017-11-11,8.56, -122.62, -114.02, 1.92, 1.58, 6.88, suppf,
2017-11-12,7.20, -122.47, -117.63, 1.86, 1.51, 6.62, final,
2017-11-13,8.48, -122.78, -117.81, 1.88, 1.52, 6.69, final,
2017-11-14,7.27, -122.87, -119.31, 1.99, 1.66, 7.21, final,
2018-01-21,9.23, -149.46, -151.72, 1.82, 1.47, 6.44, final,
2018-01-22,8.62, -149.18, -155.15, 1.88, 1.52, 6.71, final,
2018-01-23,8.12, -149.13, -151.65, 1.9, 1.53, 6.77, final,
