datetime	cfs
2/28/2018	110
3/1/2018	111
3/2/2018	113
3/3/2018	111
3/4/2018	110
3/5/2018	108
3/6/2018	107
3/7/2018	108
3/8/2018	109
3/9/2018	110
3/10/2018	109
3/11/2018	107
3/12/2018	108
3/13/2018	106
3/14/2018	108
3/15/2018	107
3/16/2018	105
3/17/2018	107
3/18/2018	104
3/19/2018	101
3/20/2018	100
3/21/2018	100
3/22/2018	102
3/23/2018	99.2
3/24/2018	105
3/25/2018	103
3/26/2018	100
3/27/2018	103
3/28/2018	120
3/29/2018	139
3/30/2018	172
3/31/2018	178
4/1/2018	190
4/2/2018	181
4/3/2018	182
4/4/2018	203
4/5/2018	201
4/6/2018	214
4/7/2018	246
4/8/2018	239
4/9/2018	219
4/10/2018	200
4/11/2018	197
4/12/2018	232
4/13/2018	262
4/14/2018	253
4/15/2018	252
4/16/2018	266
4/17/2018	269
4/18/2018	257
4/19/2018	236
4/20/2018	233
4/21/2018	230
4/22/2018	205
4/23/2018	183
4/24/2018	182
4/25/2018	182
4/26/2018	180
4/27/2018	182
4/28/2018	193
4/29/2018	188
4/30/2018	201
5/1/2018	211
5/2/2018	201
5/3/2018	190
5/4/2018	187
5/5/2018	163
5/6/2018	162
5/7/2018	164
5/8/2018	165
5/9/2018	159
5/10/2018	164
5/11/2018	173
5/12/2018	213
5/13/2018	280
5/14/2018	286
5/15/2018	259
5/16/2018	247
5/17/2018	225
5/18/2018	202
5/19/2018	199
5/20/2018	194
5/21/2018	212
5/22/2018	211
5/23/2018	202
5/24/2018	208
5/25/2018	228
5/26/2018	240
5/27/2018	287
5/28/2018	299
5/29/2018	261
5/30/2018	213
5/31/2018	192
6/1/2018	192
6/2/2018	190
6/3/2018	197
6/4/2018	197
6/5/2018	158
6/6/2018	164
6/7/2018	154
6/8/2018	148
6/9/2018	144
6/10/2018	155
6/11/2018	161
6/12/2018	150
6/13/2018	137
6/14/2018	114
6/15/2018	107
6/16/2018	130
6/17/2018	138
6/18/2018	143
6/19/2018	142
6/20/2018	141
6/21/2018	129
6/22/2018	119
6/23/2018	104
6/24/2018	102
6/25/2018	98.5
6/26/2018	91
6/27/2018	55.3
6/28/2018	34.5
6/29/2018	47.2
6/30/2018	44.6
7/1/2018	41.7
